"Nama_Startup","Kategori_Layanan","Pendapatan_Tahunan_Miliar_IDR","Biaya_Akuisisi_Pelanggan_Juta_IDR","Nilai_Pelanggan_Juta_IDR","Tingkat_Churn_Persen"
"Startup_549","Pemasaran",5578,5766,17213,-38.92
"Startup_550","CRM",5589,5777,17246,-39.03
"Startup_551","Proyek",560,5788,17279,-39.14
"Startup_552","Keuangan",5611,5799,17312,-39.25
"Startup_553","SDM",5622,581,17345,-39.36
"Startup_554","Pemasaran",5633,5821,17378,-39.47
"Startup_555","CRM",5644,5832,17411,-39.58
"Startup_556","Proyek",5655,5843,17444,-39.69
"Startup_557","Keuangan",5666,5854,17477,-39.8
"Startup_558","SDM",5677,5865,1751,-39.91
"Startup_559","Pemasaran",5688,5876,17543,-40.02
"Startup_560","CRM",5699,5887,17576,-40.13
"Startup_561","Proyek",571,5898,17609,-40.24
"Startup_562","Keuangan",5721,5909,17642,-40.35
"Startup_563","SDM",5732,592,17675,-40.46
"Startup_564","Pemasaran",5743,5931,17708,-40.57
"Startup_565","CRM",5754,5942,17741,-40.68
"Startup_566","Proyek",5765,5953,17774,-40.79
"Startup_567","Keuangan",5776,5964,17807,-40.9
"Startup_568","SDM",5787,5975,1784,-41.01
"Startup_569","Pemasaran",5798,5986,17873,-41.12
"Startup_570","CRM",5809,5997,17906,-41.23
"Startup_571","Proyek",582,6008,17939,-41.34
"Startup_572","Keuangan",5831,6019,17972,-41.45
"Startup_573","SDM",5842,603,18005,-41.56
"Startup_574","Pemasaran",5853,6041,18038,-41.67
"Startup_575","CRM",5864,6052,18071,-41.78
"Startup_576","Proyek",5875,6063,18104,-41.89
"Startup_577","Keuangan",5886,6074,18137,-42
"Startup_578","SDM",5897,6085,1817,-42.11
"Startup_579","Pemasaran",5908,6096,18203,-42.22
"Startup_580","CRM",5919,6107,18236,-42.33
"Startup_581","Proyek",593,6118,18269,-42.44
"Startup_582","Keuangan",5941,6129,18302,-42.55
"Startup_583","SDM",5952,614,18335,-42.66
"Startup_584","Pemasaran",5963,6151,18368,-42.77
"Startup_585","CRM",5974,6162,18401,-42.88
"Startup_586","Proyek",5985,6173,18434,-42.99
"Startup_587","Keuangan",5996,6184,18467,-43.1
"Startup_588","SDM",6007,6195,1850,-43.21
"Startup_589","Pemasaran",6018,6206,18533,-43.32
"Startup_590","CRM",6029,6217,18566,-43.43
"Startup_591","Proyek",604,6228,18599,-43.54
"Startup_592","Keuangan",6051,6239,18632,-43.65
"Startup_593","SDM",6062,625,18665,-43.76
"Startup_594","Pemasaran",6073,6261,18698,-43.87
"Startup_595","CRM",6084,6272,18731,-43.98
"Startup_596","Proyek",6095,6283,18764,-44.09
"Startup_597","Keuangan",6106,6294,18797,-44.2
"Startup_598","SDM",6117,6305,1883,-44.31
"Startup_599","Pemasaran",6128,6316,18863,-44.42
"Startup_600","CRM",6139,6327,18896,-44.53
"Startup_601","Proyek",615,6338,18929,-44.64
"Startup_602","Keuangan",6161,6349,18962,-44.75
"Startup_603","SDM",6172,636,18995,-44.86
"Startup_604","Pemasaran",6183,6371,19028,-44.97
"Startup_605","CRM",6194,6382,19061,-45.08
"Startup_606","Proyek",6205,6393,19094,-45.19
"Startup_607","Keuangan",6216,6404,19127,-45.3
"Startup_608","SDM",6227,6415,1916,-45.41
"Startup_609","Pemasaran",6238,6426,19193,-45.52
"Startup_610","CRM",6249,6437,19226,-45.63
"Startup_611","Proyek",626,6448,19259,-45.74
"Startup_612","Keuangan",6271,6459,19292,-45.85
"Startup_613","SDM",6282,647,19325,-45.96
"Startup_614","Pemasaran",6293,6481,19358,-46.07
"Startup_615","CRM",6304,6492,19391,-46.18
"Startup_616","Proyek",6315,6503,19424,-46.29
"Startup_617","Keuangan",6326,6514,19457,-46.4
"Startup_618","SDM",6337,6525,1949,-46.51
"Startup_619","Pemasaran",6348,6536,19523,-46.62
"Startup_620","CRM",6359,6547,19556,-46.73
"Startup_621","Proyek",637,6558,19589,-46.84
"Startup_622","Keuangan",6381,6569,19622,-46.95
"Startup_623","SDM",6392,658,19655,-47.06
"Startup_624","Pemasaran",6403,6591,19688,-47.17
"Startup_625","CRM",6414,6602,19721,-47.28
"Startup_626","Proyek",6425,6613,19754,-47.39
"Startup_627","Keuangan",6436,6624,19787,-47.5
"Startup_628","SDM",6447,6635,1982,-47.61
"Startup_629","Pemasaran",6458,6646,19853,-47.72
"Startup_630","CRM",6469,6657,19886,-47.83
"Startup_631","Proyek",648,6668,19919,-47.94
"Startup_632","Keuangan",6491,6679,19952,-48.05
"Startup_633","SDM",6502,669,19985,-48.16
"Startup_634","Pemasaran",6513,6701,20018,-48.27
"Startup_635","CRM",6524,6712,20051,-48.38
"Startup_636","Proyek",6535,6723,20084,-48.49
"Startup_637","Keuangan",6546,6734,20117,-48.6
"Startup_638","SDM",6557,6745,2015,-48.71
"Startup_639","Pemasaran",6568,6756,20183,-48.82
"Startup_640","CRM",6579,6767,20216,-48.93
"Startup_641","Proyek",659,6778,20249,-49.04
"Startup_642","Keuangan",6601,6789,20282,-49.15
"Startup_643","SDM",6612,680,20315,-49.26
"Startup_644","Pemasaran",6623,6811,20348,-49.37
"Startup_645","CRM",6634,6822,20381,-49.48
"Startup_646","Proyek",6645,6833,20414,-49.59
"Startup_647","Keuangan",6656,6844,20447,-49.7
"Startup_648","SDM",6667,6855,2048,-49.81
"Startup_649","Pemasaran",6678,6866,20513,-49.92
"Startup_650","CRM",6689,6877,20546,-50.03
"#NAME?",NA,NA,NA,NA,NA
